Time	RF	BF	VM	EMG S	F-E
3.34	-0.0083	-0.0008	0.006	-0.0158	1.3
3.341	-0.0068	-0.0015	-0.0008	-0.015	1.3
3.342	-0.0068	-0.0038	-0.0008	-0.0143	1.5
3.343	-0.0053	-0.003	0.0045	-0.012	1.5
3.344	-0.003	-0.003	0.0075	-0.0105	1.6
3.345	-0.0046	-0.003	0.009	-0.003	1.6
3.346	-0.0015	-0.0008	0.009	0.006	1.4
3.347	-0.0008	0.0007	0.0067	0.0142	1.5
3.348	-0.0008	0.0015	0.0037	0.0165	1.5
3.349	0	0.0015	0.0022	0.009	1.4
3.35	0.0007	0.0007	0	0.0007	1.7
3.351	0.0007	-0.0008	-0.0015	-0.0008	1.6
3.352	0.0015	-0.0008	-0.0038	-0.003	1.6
3.353	0.0022	-0.0008	-0.0053	-0.006	1.5
3.354	0	-0.0008	-0.006	-0.0075	1.5
3.355	0	-0.0008	-0.0083	-0.0038	1.7
3.356	0	0.0007	-0.0075	0.003	1.5
3.357	0.0022	0.0007	-0.0068	0.0067	1.6
3.358	0.0045	0.0015	-0.0068	0.0127	1.6
3.359	0.0067	0.0007	-0.0083	0.0172	1.5
3.36	0.0082	-0.0015	-0.0091	0.0142	1.6
3.361	0.0097	0.0007	-0.0091	0.012	1.7
3.362	0.0142	0.003	-0.0113	0.0105	1.7
3.363	0.018	0.0037	-0.012	0.0112	1.6
3.364	0.0195	0.0052	-0.012	0.0142	1.5
3.365	0.018	0.0067	-0.0128	0.0142	1.6
3.366	0.0195	0.0067	-0.0158	0.012	1.7
3.367	0.018	0.0052	-0.0173	0.0082	1.5
3.368	0.0165	0.0022	-0.0113	0.003	1.7
3.369	0.0157	-0.0008	-0.0091	-0.0008	1.5
3.37	0.0142	-0.0023	-0.0046	-0.003	1.7
3.371	0.009	-0.0038	-0.003	-0.0046	1.8
3.372	0.003	-0.003	0	-0.0015	1.7
3.373	0.0022	-0.0015	0.0052	0	1.8
3.374	0	-0.0015	0.0075	-0.003	1.7
3.375	-0.0015	-0.0015	0.012	-0.0038	1.7
3.376	-0.0023	-0.0015	0.015	-0.0046	1.8
3.377	-0.0053	-0.0015	0.015	-0.0015	1.6
3.378	-0.006	0.0007	0.0135	0.0015	1.7
3.379	-0.0083	0.0007	0.0135	0.0045	1.8
3.38	-0.0091	0.003	0.0135	0.0067	1.7
3.381	-0.0091	0.003	0.0142	0.0082	1.8
3.382	-0.0113	0.0015	0.0127	0.0097	1.8
3.383	-0.012	0.0007	0.015	0.012	1.7
3.384	-0.0135	-0.003	0.0165	0.0022	1.8
3.385	-0.0143	-0.006	0.015	-0.0128	1.7
3.386	-0.0135	-0.0091	0.0135	-0.0248	1.8
3.387	-0.015	-0.012	0.012	-0.0375	1.7
3.388	-0.0143	-0.0128	0.0127	-0.0428	1.6
3.389	-0.0143	-0.0083	0.0157	-0.027	1.8
3.39	-0.015	-0.003	0.0172	-0.0165	1.6
3.391	-0.0128	-0.0008	0.0195	-0.0135	1.6
3.392	-0.0128	0.003	0.0217	-0.0008	1.7
3.393	-0.012	0.0052	0.0217	0.0105	1.7
3.394	-0.0135	0.0052	0.0217	0.0165	1.6
3.395	-0.0143	0.003	0.021	0.0142	1.8
3.396	-0.0135	0.0037	0.0202	0.0127	1.5
3.397	-0.0143	0.003	0.021	0.015	1.7
3.398	-0.012	0.0022	0.018	0.0082	1.7
3.399	-0.0105	0.0007	0.018	0.006	1.8
3.4	-0.0098	-0.0015	0.0202	0.006	1.8
3.401	-0.0091	0.0007	0.0165	0.0075	1.5
3.402	-0.0083	0.0007	0.0105	0.0052	1.8
3.403	-0.0075	0.0007	0.0045	-0.0015	1.6
3.404	-0.0068	0.0007	-0.003	-0.003	1.5
3.405	-0.0075	0.0022	-0.0113	0.0015	1.7
3.406	-0.0068	0.0045	-0.0188	0.009	1.6
3.407	-0.0015	0.0037	-0.0263	0.0157	1.5
3.408	-0.0008	0.0015	-0.033	0.018	1.6
3.409	0	0	-0.039	0.0195	1.6
3.41	0.0007	0.0007	-0.042	0.0307	1.6
3.411	0.0045	0.0007	-0.042	0.0292	1.7
3.412	0.009	-0.0053	-0.042	0.0015	1.5
3.413	0.0105	-0.0091	-0.0413	-0.0203	1.7
3.414	0.0127	-0.0091	-0.0405	-0.0443	1.5
3.415	0.0142	-0.0113	-0.0405	-0.066	1.5
3.416	0.0127	-0.0075	-0.039	-0.0503	1.6
3.417	0.0112	0	-0.0383	-0.021	1.5
3.418	0.0097	0.0015	-0.0368	-0.0091	1.7
3.419	0.009	0.0045	-0.0323	-0.0038	1.5
3.42	0.0105	0.0052	-0.0285	0	1.4
3.421	0.012	0.0015	-0.0278	0.0067	1.5
3.422	0.0112	0.0015	-0.0278	0.0157	1.3
3.423	0.0112	0.0007	-0.0263	0.018	1.4
3.424	0.012	-0.0008	-0.0248	0.018	1.4
3.425	0.0135	-0.0015	-0.0233	0.0165	1.3
3.426	0.0157	-0.0015	-0.0195	0.018	1.3
3.427	0.018	0.0015	-0.0158	0.0255	1.5
3.428	0.018	0.0007	-0.0135	0.027	1.3
3.429	0.0202	0.0007	-0.0083	0.0277	1.5
3.43	0.0202	0.0007	-0.0038	0.015	1.3
3.431	0.0195	-0.003	-0.003	-0.0053	1.5
3.432	0.0165	-0.003	-0.0008	-0.0195	1.4
3.433	0.0165	-0.0068	-0.0008	-0.0375	1.3
3.434	0.0165	-0.0091	-0.0008	-0.0218	1.4
3.435	0.0135	-0.0046	0.0007	0.0112	1.3
3.436	0.0112	-0.0015	0.0022	0.0127	1.4
3.437	0.0082	-0.003	0.0045	0.0045	1.3
3.438	0.006	-0.0015	0.006	-0.0098	1.3
3.439	0.0015	-0.0023	0.0097	-0.0158	1.3
3.44	-0.0008	-0.0015	0.0135	-0.0015	1.3
3.441	-0.0008	-0.0023	0.0127	0.0015	1.4
3.442	-0.0023	-0.0046	0.0135	-0.0098	1.3
3.443	-0.003	-0.0046	0.0165	-0.0158	1.3
3.444	-0.0046	-0.0008	0.015	-0.0068	1.3
3.445	-0.0038	0.0052	0.0157	0.0067	1.2
3.446	-0.0053	0.0075	0.012	0.012	1
3.447	-0.0068	0.009	0.0105	0.012	1.2
3.448	-0.0068	0.009	0.0075	0.0135	1.2
3.449	-0.0068	0.0105	0.0045	0.0172	1.1
3.45	-0.0053	0.0075	0.006	0.0105	1.1
3.451	-0.006	0.0007	0.0067	0.0022	1
3.452	-0.006	0.0015	0.009	0.0007	1.2
3.453	-0.0053	0.0015	0.0097	0.0052	1
3.454	-0.0046	-0.0015	0.0075	0.0037	1.1
3.455	-0.0046	0.0007	0.0082	0.003	0.9
3.456	-0.0046	-0.003	0.0082	0.009	1
3.457	-0.0046	-0.0083	0.009	0.0172	1
3.458	-0.0046	-0.0008	0.009	0.0292	0.9
3.459	-0.0046	0.003	0.0067	0.0292	0.9
3.46	-0.0038	-0.0015	0.006	0.015	1
3.461	-0.0023	-0.006	0.0045	-0.0053	0.9
3.462	-0.0038	-0.0158	0.0015	-0.0353	0.9
3.463	-0.0038	-0.0188	0.0045	-0.0518	1
3.464	-0.0015	-0.0143	0.0082	-0.0443	0.9
3.465	-0.0008	-0.0083	0.0105	-0.033	1
3.466	-0.0023	-0.006	0.0105	-0.027	0.9
3.467	-0.0046	-0.006	0.0075	-0.012	0.9
3.468	-0.0046	-0.0015	0.0075	0.0075	1
3.469	-0.006	0.0022	0.009	0.0165	0.8
3.47	-0.0038	0.003	0.0097	0.0157	0.9
3.471	-0.0038	0.0037	0.0105	0.0165	0.9
3.472	-0.0023	0.0067	0.0112	0.018	1
3.473	-0.0015	0.0165	0.0097	0.0202	0.9
3.474	-0.0023	0.0195	0.0105	0.0217	0.9
3.475	-0.003	0.0172	0.009	0.018	0.8
3.476	-0.0038	0.0157	0.0067	0.0127	0.9
3.477	-0.0046	0.012	0.0052	0.0045	0.9
3.478	-0.0046	0.009	0.0037	-0.0008	0.9
3.479	-0.0038	0.0067	0.003	-0.0023	1
3.48	-0.003	0.0052	0.0015	-0.0038	0.8
3.481	-0.0038	-0.0091	0	-0.0068	0.8
3.482	-0.0046	-0.0361	-0.0008	-0.0038	0.9
3.483	-0.0023	-0.0405	-0.0008	-0.0038	0.8
3.484	-0.003	-0.0165	-0.003	-0.0091	1
3.485	-0.003	-0.0046	-0.0046	-0.0075	0.8
3.486	-0.0023	-0.003	-0.0046	-0.0113	0.9
3.487	-0.003	0	-0.0068	-0.012	0.7
3.488	-0.0023	-0.0023	-0.0075	0.0052	0.8
3.489	-0.0015	0	-0.0075	0.0112	0.7
3.49	0	0.0007	-0.0053	0.0082	0.9
3.491	0.0007	0.003	-0.0046	0.0135	0.7
3.492	0.003	-0.0008	-0.003	0.0067	0.8
3.493	0.0052	-0.0068	-0.0053	0	0.8
3.494	0.0045	-0.0023	-0.0046	0.0007	0.8
3.495	0.0045	0.0015	-0.003	0.0022	0.9
3.496	0.0045	0.0067	-0.003	0.0165	0.8
3.497	0.003	0.009	-0.0015	0.024	0.9
3.498	0.0022	0.0052	0	0.018	0.7
3.499	0.0007	-0.0008	-0.0015	-0.0008	0.8
3.5	0	-0.0053	-0.0008	-0.0285	0.8
3.501	0.0015	-0.0098	0.0007	-0.048	0.7
3.502	0.0015	-0.012	0.0037	-0.039	0.8
3.503	0.0007	-0.0068	0.003	-0.0128	0.7
3.504	-0.0008	-0.0008	0.003	0.003	0.8
3.505	-0.0008	-0.0023	0.003	-0.0008	0.8
3.506	-0.0008	-0.0038	0.0022	-0.006	0.6
3.507	-0.0008	0.0022	0.003	0.0015	0.6
3.508	0.0015	0.006	0.0022	0.0142	0.7
3.509	0.0007	0.0082	0.0022	0.0255	0.7
3.51	0.0015	0.0112	0.0007	0.024	0.8
3.511	0.0022	0.0075	0.0007	0.0037	0.7
3.512	0.0015	0.0022	0.0022	-0.0075	0.5
3.513	0.0015	-0.0008	0.0015	-0.0023	0.8
3.514	0.003	-0.0023	0.0015	-0.0008	0.5
3.515	0.003	-0.0015	0.0045	-0.0008	0.6
3.516	0.003	-0.0008	0.0037	-0.0091	0.6
3.517	0.003	-0.0046	0.0022	-0.0181	0.6
3.518	0.0022	-0.0053	0.0045	-0.0105	0.7
3.519	0.003	-0.003	0.0045	-0.0015	0.4
3.52	0.0045	-0.0015	0.0067	0.0015	0.6
3.521	0.0037	-0.0015	0.006	0.0022	0.4
3.522	0.003	0.0015	0.003	0.0015	0.7
3.523	0.0022	0.0037	0.0015	0.0037	0.5
3.524	0.0022	0.0015	0.0015	0.0112	0.7
3.525	0.0015	0.0022	0.003	0.0165	0.4
3.526	0.0015	0.0045	0	0.0127	0.4
3.527	0.0015	0.0037	-0.0015	0.0082	0.4
3.528	0.0015	-0.0008	-0.0023	0.0007	0.4
3.529	0.0007	-0.003	-0.0023	-0.0015	0.4
3.53	-0.0008	-0.0046	-0.0008	-0.0015	0.1
3.531	0	-0.006	0.0015	-0.0046	0.5
3.532	-0.0008	-0.0053	0.003	-0.0046	0.3
3.533	-0.0008	-0.003	0.0022	0.0045	0.1
3.534	-0.0008	-0.003	0.0015	0.0067	0.3
3.535	-0.0008	-0.0038	0	0.0022	0.1
3.536	-0.0023	-0.0038	0.0007	-0.0008	0.2
3.537	-0.0015	-0.0038	0.0007	-0.003	0.1
3.538	-0.003	0	-0.0015	-0.0015	0.1
3.539	-0.0046	0.0045	-0.0046	0.0052	0
3.54	-0.003	0.0045	-0.0046	0.012	0.1
3.541	-0.003	0.0037	0.0015	0.012	0
3.542	-0.0046	0.0007	0	0.009	0.1
3.543	-0.006	-0.0008	0.0007	0.0052	0
3.544	-0.006	0.0007	0.0045	0.006	-0.1
3.545	-0.0068	-0.0008	0.0037	0.0082	0
3.546	-0.0083	-0.003	0.0037	0.003	-0.2
3.547	-0.0083	0.0015	0.0037	-0.003	0
3.548	-0.0068	0.0022	0.0045	-0.0105	-0.2
3.549	-0.0068	0.003	0.003	-0.0105	-0.2
3.55	-0.0083	0.0015	0.003	-0.0068	-0.3
3.551	-0.0098	-0.0046	0.003	-0.003	-0.3
3.552	-0.0053	-0.0068	0.0007	-0.0015	-0.3
3.553	-0.006	-0.006	-0.0015	-0.006	-0.3
3.554	-0.006	-0.0068	0.0007	-0.0068	-0.3
3.555	-0.0046	-0.0091	0.0007	-0.0068	-0.2
3.556	-0.0038	-0.0068	0	0.0015	-0.4
3.557	-0.003	0	0.0007	0.0067	-0.5
3.558	-0.0038	0.0037	-0.003	0.0052	-0.3
3.559	-0.0023	0.0045	-0.003	0.009	-0.5
3.56	-0.0008	0.003	-0.003	0.009	-0.5
3.561	0.0015	0.0052	-0.0046	0.012	-0.5
3.562	0.0015	0.0105	-0.0046	0.0165	-0.5
3.563	-0.0008	0.0157	-0.003	0.0157	-0.5
3.564	0.0015	0.0172	-0.0008	0.012	-0.7
3.565	0.0022	0.012	-0.0008	0.0067	-0.6
3.566	0.0015	0.009	-0.0023	0.0082	-0.5
3.567	0.0037	0.0165	-0.0008	0.0105	-0.7
3.568	0.0045	0.0352	-0.0023	0.0202	-0.6
3.569	0.0045	0.0705	-0.0023	0.0382	-0.8
3.57	0.0052	0.0832	-0.003	0.0382	-0.7
3.571	0.006	0.0637	-0.0046	0.0285	-0.7
3.572	0.0052	0.0637	-0.0023	0.018	-0.8
3.573	0.0037	0.0855	-0.003	0.003	-0.8
3.574	0.0015	0.0885	-0.003	-0.0173	-0.8
3.575	0.0015	0.0607	-0.003	-0.042	-0.9
3.576	0.0015	0.0142	-0.0023	-0.063	-0.9
3.577	0.0007	-0.1125	-0.0015	-0.075	-1
3.578	0	-0.3293	-0.006	-0.0788	-1.1
3.579	-0.0008	-0.3203	-0.006	-0.0488	-1
3.58	-0.0015	-0.1696	-0.0053	-0.0091	-1
3.581	0.0007	-0.1178	-0.003	0.0045	-1
3.582	0.0022	-0.0458	-0.0008	0.009	-1.1
3.583	0.0022	-0.0203	0.0007	0.009	-1.1
3.584	0.003	0.0022	0.003	0.0015	-1.1
3.585	0.003	0.027	0.003	-0.0068	-1.3
3.586	0.0015	0.0292	0.0007	-0.0188	-1.3
3.587	0.0015	0.0157	-0.0038	-0.024	-1.2
3.588	0.0007	-0.0015	-0.0046	-0.0218	-1.4
3.589	-0.0015	0.0322	-0.003	-0.0091	-1.2
3.59	-0.0008	0.0412	-0.003	0.003	-1.4
3.591	-0.0008	0.0412	-0.0008	0.0045	-1.4
3.592	-0.0008	0.0285	-0.0015	0.0105	-1.4
3.593	0	0.0195	-0.003	0.0165	-1.5
3.594	0.0022	0.0292	-0.0046	0.0172	-1.6
3.595	0.0015	0.033	-0.003	0.021	-1.6
3.596	0.003	0.033	-0.0023	0.0225	-1.7
3.597	0.0045	0.0345	-0.0046	0.0202	-1.4
3.598	0.0045	0.045	0.003	0.024	-1.8
3.599	0.0045	0.0525	0.0105	0.0255	-1.6
3.6	0.0022	0.0465	0.0075	0.018	-1.7
3.601	0.0037	0.0382	0.0052	0.012	-1.6
3.602	0.0022	0.0315	0.0045	0.0045	-1.8
3.603	0.0015	0.027	-0.0008	-0.0015	-1.7
3.604	0.0007	0.012	-0.0038	-0.006	-1.9
3.605	0.0007	-0.054	-0.0068	-0.0105	-1.6
3.606	-0.0008	-0.0863	-0.0068	-0.0015	-1.9
3.607	0.0007	-0.0256	-0.0053	0.009	-2
3.608	0.0015	0.0082	-0.006	0.0157	-1.9
3.609	0.0022	0.0022	-0.003	0.024	-1.9
3.61	0.003	0.0195	-0.0008	0.0225	-1.9
3.611	0.0022	0.0165	-0.0008	0.012	-2.1
3.612	0.0045	0.0067	-0.0015	-0.0023	-2.2
3.613	0.0045	-0.0091	-0.0008	-0.0113	-2
3.614	0.0052	-0.0353	-0.0008	-0.0165	-2.3
3.615	0.0052	-0.012	-0.0015	-0.0195	-2.2
3.616	0.0052	0.0022	-0.0008	-0.0203	-2.3
3.617	0.006	-0.0181	-0.0023	-0.0248	-2.3
3.618	0.0052	-0.024	-0.0038	-0.0128	-2.3
3.619	0.006	-0.0098	-0.0015	0.0045	-2.3
3.62	0.006	0.0037	-0.0008	0.0105	-2.5
3.621	0.0052	0.015	0.0015	0.012	-2.3
3.622	0.0037	0.0127	0.0015	0.0112	-2.6
3.623	0.0015	0.0082	0.0015	0.0142	-2.5
3.624	0.0045	0.0202	-0.0008	0.0157	-2.6
3.625	0.0067	0.0315	-0.003	0.012	-2.7
3.626	0.0052	0.024	-0.0038	0.009	-2.7
3.627	0.0037	0.009	-0.0038	0.0067	-2.7
3.628	-0.0008	0.0382	-0.0053	0.0067	-2.8
3.629	-0.0053	0.048	-0.0053	0.0015	-2.9
3.63	-0.0083	-0.006	-0.0038	-0.012	-3.1
3.631	-0.0113	-0.0615	-0.0091	-0.0203	-3.1
3.632	-0.0128	-0.093	-0.012	-0.0218	-3.1
3.633	-0.0128	-0.0713	-0.0068	-0.0135	-3.1
3.634	-0.0143	-0.0195	-0.0038	-0.0075	-3.2
3.635	-0.015	-0.0173	-0.0008	-0.0023	-3.2
3.636	-0.0135	-0.0008	0.0015	0.018	-3.3
3.637	-0.0128	0.0307	0.0052	0.0345	-3.2
3.638	-0.0113	0.048	0.0067	0.03	-3.5
3.639	-0.0105	0.0555	0.0052	0.0135	-3.3
3.64	-0.0091	0.0397	0.0097	0.0075	-3.6
3.641	-0.0053	0.0577	0.012	0.0097	-3.6
3.642	-0.003	0.0742	0.0112	0.012	-3.7
3.643	-0.0015	0.0765	0.0105	0.0075	-3.6
3.644	-0.0008	0.0405	0.0082	-0.0015	-3.8
3.645	-0.0008	-0.0368	0.0052	0	-3.9
3.646	-0.0008	-0.0615	0.003	0.0052	-3.8
3.647	-0.0015	-0.0368	0	0.006	-3.9
3.648	0.0007	0.0052	0.0015	-0.0075	-4
3.649	0	0.021	-0.003	-0.0353	-4.2
3.65	-0.003	-0.0645	-0.0053	-0.0413	-4.2
3.651	-0.003	-0.0863	-0.0015	-0.0165	-4.2
3.652	-0.003	-0.0458	-0.003	-0.0075	-4.3
3.653	-0.0023	-0.0585	-0.0023	-0.0203	-4.6
3.654	-0.0015	-0.0585	-0.0008	-0.024	-4.4
3.655	-0.0015	-0.0953	-0.003	-0.0346	-4.4
3.656	-0.0008	-0.099	0.0022	-0.0323	-4.6
3.657	0.0015	-0.0743	0.0045	-0.0105	-4.6
3.658	0.003	-0.0195	0.0007	-0.0068	-4.7
3.659	0.0045	0.018	0.0015	-0.0075	-4.7
3.66	0.0075	-0.0038	0.0022	-0.0091	-4.9
3.661	0.0082	-0.0158	0.0052	-0.0181	-5.1
3.662	0.009	-0.0458	0.003	-0.0165	-4.9
3.663	0.0082	-0.0068	0.0015	0.0082	-5.1
3.664	0.0097	0.0652	0.003	0.0405	-5.2
3.665	0.012	0.057	-0.0015	0.0457	-5.4
3.666	0.012	-0.006	-0.003	0.0405	-5.3
3.667	0.012	0.0067	-0.003	0.0277	-5.4
3.668	0.0105	0.0637	-0.0015	0.018	-5.4
3.669	0.009	0.0435	0.0015	0.0157	-5.6
3.67	0.009	0.0442	0.0045	0.009	-5.6
3.671	0.0082	0.0367	0.003	0.0052	-5.7
3.672	0.0045	0.0195	0	-0.0075	-5.9
3.673	0.0015	0.018	-0.0015	-0.0135	-5.8
3.674	0	0	-0.0053	-0.0195	-6.2
3.675	-0.0015	0.0112	-0.0068	-0.024	-6.2
3.676	-0.0008	0.0105	-0.0083	-0.0158	-6.3
3.677	-0.0008	0.0225	-0.0083	-0.0015	-6.4
3.678	-0.003	0.0202	-0.012	0.015	-6.5
3.679	-0.006	-0.0023	-0.0135	0.0142	-6.5
3.68	-0.006	-0.006	-0.012	0.0022	-6.7
3.681	-0.0091	-0.006	-0.012	-0.0015	-6.8
3.682	-0.012	0.0067	-0.012	-0.0046	-6.8
3.683	-0.012	-0.0218	-0.0128	-0.0038	-7
3.684	-0.0098	-0.0225	-0.0091	0.0082	-6.9
3.685	-0.0091	0.024	-0.0083	0.0142	-7.2
3.686	-0.0105	0.024	-0.0053	0.009	-7.2
3.687	-0.0083	0.021	-0.0023	0.0037	-7.3
3.688	-0.0068	0.009	-0.0046	-0.0015	-7.7
3.689	-0.0068	-0.003	-0.0015	-0.003	-7.6
3.69	-0.0053	-0.0158	-0.0015	-0.0053	-7.7
3.691	-0.0068	-0.021	-0.0015	-0.0128	-7.8
3.692	-0.0068	-0.0053	0.0007	-0.012	-8
3.693	-0.0053	0.006	0.0015	-0.0053	-8.1
3.694	0.0007	0.0105	0.0052	0.0067	-8.2
3.695	0.0022	0.0105	0.0082	0.015	-8.3
3.696	0.0015	0.012	0.0082	0.015	-8.4
3.697	0.0037	0.009	0.0082	0.0172	-8.6
3.698	0.0052	0.0127	0.0075	0.018	-8.7
3.699	0.0045	0.0105	0.003	0.009	-8.9
3.7	0.0045	0.0052	0	0.0015	-8.8
3.701	0.0067	0.0052	-0.003	0.0015	-9
3.702	0.0075	0.0082	-0.003	0.0015	-9.3
3.703	0.0082	0.003	-0.0008	-0.0053	-9.4
3.704	0.0105	-0.0218	-0.0008	-0.0068	-9.5
3.705	0.012	-0.0315	-0.0008	-0.003	-9.6
3.706	0.015	-0.0105	-0.0015	0.0037	-10
3.707	0.0195	0.003	0	0.015	-9.7
3.708	0.024	0.0067	0	0.0255	-10.1
3.709	0.0262	0.0052	-0.0008	0.0255	-10.2
3.71	0.024	-0.0075	0.0007	0.0157	-10.3
3.711	0.0202	-0.0015	0.0007	0.0067	-10.4
3.712	0.0142	0.0022	0.0007	-0.0053	-10.6
3.713	0.0082	0	0.0007	-0.0195	-10.8
3.714	0.0082	-0.0046	0.0007	-0.0323	-11
3.715	0.006	-0.03	-0.0008	-0.0368	-11
3.716	0.003	-0.0518	-0.0023	-0.0323	-11.1
3.717	0.0037	-0.042	-0.0008	-0.0188	-11.3
3.718	0.0052	-0.0091	-0.0008	-0.0046	-11.3
3.719	0.0045	0.0045	-0.0008	-0.0008	-11.8
3.72	0.0007	0.012	-0.0015	0.0045	-11.7
3.721	0	0.0172	0.0007	0.0067	-11.9
3.722	-0.0015	0.0052	0.0052	0.0067	-12.2
3.723	-0.003	-0.0046	0.009	0.0067	-12.2
3.724	-0.0053	-0.0195	0.009	0.0067	-12.5
3.725	-0.0068	-0.0143	0.0082	0.0105	-12.4
3.726	-0.0083	0.0052	0.0082	0.0195	-12.6
3.727	-0.0053	0.0075	0.0082	0.024	-12.9
3.728	-0.0053	0.009	0.006	0.0172	-12.8
3.729	-0.0046	0.012	0.0045	0.012	-13.1
3.73	-0.0053	0.0127	0.0075	0.0082	-13.2
3.731	-0.0053	0.009	0.0067	0.0015	-13.4
3.732	-0.0083	0.0022	0.0037	-0.0008	-13.7
3.733	-0.0135	0.0037	0.0045	-0.0023	-13.9
3.734	-0.0181	0.0022	0.0052	-0.003	-13.8
3.735	-0.021	-0.0098	0.0045	-0.0068	-14.3
3.736	-0.0218	-0.0203	0.003	-0.0068	-14.2
3.737	-0.0203	-0.0053	0.0007	-0.0053	-14.4
3.738	-0.021	-0.0023	-0.0023	-0.0105	-14.6
3.739	-0.0203	-0.0053	-0.0046	-0.0105	-14.8
3.74	-0.024	-0.0008	-0.003	-0.0091	-15
3.741	-0.027	-0.006	-0.003	-0.0053	-14.9
3.742	-0.0256	-0.0008	-0.0038	-0.0015	-15.2
3.743	-0.0218	0.0007	-0.003	0	-15.4
3.744	-0.0195	0.006	-0.003	0.0052	-15.6
3.745	-0.0165	0.0082	-0.0015	0.0075	-15.9
3.746	-0.0128	0.0045	-0.0046	0.0045	-16.1
3.747	-0.0105	0.0075	-0.0046	0.003	-16.1
3.748	-0.0068	0.0045	-0.0038	-0.003	-16.3
3.749	-0.0023	0.0045	-0.006	-0.0083	-16.5
3.75	-0.0015	0.003	-0.0053	-0.0113	-16.7
3.751	-0.0015	0.0037	-0.0046	-0.0083	-16.9
3.752	-0.0015	0.0007	-0.006	-0.0038	-17.1
3.753	-0.0023	-0.003	-0.0083	-0.0023	-17.5
3.754	-0.0008	-0.003	-0.0068	0.003	-17.6
3.755	0.0007	0	-0.0068	0.0022	-17.6
3.756	-0.0015	0.003	-0.0053	-0.0015	-18
3.757	-0.0083	0.0007	-0.0053	-0.0015	-18
3.758	-0.0181	-0.003	-0.0038	-0.0015	-18.2
3.759	-0.0203	-0.003	-0.0008	0.0007	-18.2
3.76	-0.0113	0.003	-0.0008	0.0045	-18.7
3.761	-0.0008	0.003	0.0007	0.0045	-18.6
3.762	0.0045	-0.0068	0.003	0.0045	-18.9
3.763	0.006	-0.006	0.0022	0.0052	-19.1
3.764	0.0015	0.0067	0.003	0.0067	-19.4
3.765	-0.003	0.0045	0.0045	0.0052	-19.4
3.766	-0.0068	0.0022	0.0052	0.0045	-19.7
3.767	-0.0068	0.0037	0.0105	0.0052	-19.8
3.768	-0.0046	0.0015	0.0142	0.0045	-20
3.769	-0.0053	0.0045	0.0112	0.0037	-20.5
3.77	-0.0046	0.0015	0.0082	0.0037	-20.3
3.771	-0.0008	0.0015	0.0105	0.0045	-20.5
3.772	0.003	0.0015	0.0097	0.003	-20.8
3.773	0.003	0.0015	0.0045	0.0022	-20.8
3.774	0.0022	0.0007	0.0052	0.0015	-21.3
3.775	0.0022	0.0007	0.0067	0.0007	-21.2
3.776	0.0015	0.0015	0.0052	0.0015	-21.6
3.777	0.003	0.0015	0.0045	0	-21.7
3.778	0.0052	0.0007	0.0045	0	-22
3.779	0.003	-0.0023	0.0052	0.0007	-22.1
3.78	0.003	-0.0015	0.0052	-0.0008	-22.4
3.781	0.0045	-0.0008	0.0045	-0.0015	-22.5
3.782	0.0045	-0.0008	0.0015	-0.0008	-22.7
3.783	0.0037	-0.003	0.0007	-0.0015	-22.8
3.784	0.0037	-0.003	-0.0023	-0.0008	-22.9
3.785	0.0045	-0.0038	-0.0046	-0.0008	-23.4
3.786	0.003	-0.0038	-0.0083	-0.0008	-23.5
3.787	0.0007	-0.0023	-0.0083	0	-23.8
3.788	0.003	-0.0015	-0.0083	0.0007	-23.7
3.789	0.003	0.0007	-0.0105	0.0007	-24.1
3.79	0.0052	0	-0.0113	0.0022	-24.3
3.791	0.006	0	-0.012	0.0022	-24.3
3.792	0.0082	0.0007	-0.012	0.0015	-24.8
3.793	0.0105	-0.0015	-0.0105	0.0022	-24.8
3.794	0.0105	-0.0008	-0.0105	0.0022	-24.9
3.795	0.0112	-0.0023	-0.0113	-0.0008	-25.2
3.796	0.012	-0.0068	-0.0113	-0.0038	-25.5
3.797	0.0127	-0.0068	-0.0143	-0.0015	-25.5
3.798	0.0127	-0.0046	-0.0143	-0.0008	-25.8
3.799	0.0127	-0.0038	-0.012	0.0015	-26
3.8	0.012	-0.0008	-0.0105	0.0045	-26.1
3.801	0.012	-0.0008	-0.0091	0.003	-26.2
3.802	0.0105	-0.0015	-0.0083	0.0007	-26.4
3.803	0.0082	-0.0015	-0.0068	-0.0008	-26.7
3.804	0.009	-0.0038	-0.0075	-0.0023	-26.8
3.805	0.0067	-0.0038	-0.0068	-0.0008	-27
3.806	0.0082	-0.003	-0.0053	0.0015	-27.2
3.807	0.0105	-0.0015	-0.0068	0.003	-27.2
3.808	0.009	0.0007	-0.0068	0.0045	-27.6
3.809	0.0082	0.0007	-0.0068	0.0045	-27.8
3.81	0.0082	0	-0.0105	0.0045	-27.9
3.811	0.0067	-0.003	-0.015	0.0007	-28.1
3.812	0.0075	-0.0046	-0.0143	-0.0015	-28.3
3.813	0.009	-0.0053	-0.0165	-0.003	-28.5
3.814	0.009	-0.006	-0.0181	-0.0068	-28.5
3.815	0.0067	-0.0053	-0.0165	-0.006	-28.8
3.816	0.0067	-0.0023	-0.0181	-0.0015	-29.1
3.817	0.0067	-0.0015	-0.0181	-0.0008	-29.1
3.818	0.0045	-0.0008	-0.0181	0.0007	-29.4
