   Elapsed time	   RESP	  ECG I	  ECG V	 ECG II	  PLETH	    ABP
         63.616	  0.212	 -0.074	  0.734	  0.465	  0.458	117.536
         63.624	  0.209	 -0.106	  0.879	  0.425	  0.458	116.167
         63.632	  0.208	  0.096	  0.909	  0.485	  0.459	115.189
         63.640	  0.207	  0.461	  0.170	  0.565	  0.459	114.407
         63.648	  0.207	  0.879	 -0.365	  0.605	  0.459	113.820
         63.656	  0.208	  0.510	 -0.126	  0.540	  0.459	113.233
         63.664	  0.210	  0.116	  0.374	  0.485	  0.462	112.842
         63.672	  0.212	 -0.049	  0.695	  0.435	  0.466	112.060
         63.680	  0.216	 -0.106	  0.800	  0.420	  0.472	111.669
         63.688	  0.220	 -0.091	  0.820	  0.440	  0.480	110.887
         63.696	  0.227	 -0.111	  0.815	  0.405	  0.488	110.300
         63.704	  0.234	 -0.084	  0.830	  0.465	  0.497	109.909
         63.712	  0.243	 -0.140	  0.796	  0.420	  0.502	109.127
         63.720	  0.253	 -0.044	  0.850	  0.515	  0.506	108.540
         63.728	  0.263	 -0.025	  0.840	  0.450	  0.508	107.758
         63.736	  0.273	  0.010	  0.860	  0.510	  0.508	107.171
         63.744	  0.283	 -0.025	  0.805	  0.485	  0.506	106.389
         63.752	  0.292	  0.020	  0.879	  0.505	  0.504	105.606
         63.760	  0.304	 -0.010	  0.855	  0.465	  0.503	105.020
         63.768	  0.316	  0.005	  0.850	  0.510	  0.503	104.237
         63.776	  0.328	 -0.020	  0.845	  0.525	  0.502	103.651
         63.784	  0.341	  0.010	  0.865	  0.520	  0.501	103.064
         63.792	  0.355	  0.059	  0.855	  0.540	  0.500	102.477
         63.800	  0.369	  0.091	  0.919	  0.575	  0.498	101.695
         63.808	  0.382	  0.039	  0.899	  0.530	  0.495	100.913
         63.816	  0.397	  0.030	  0.894	  0.555	  0.492	100.130
         63.824	  0.411	  0.039	  0.904	  0.535	  0.489	 99.544
         63.832	  0.423	  0.005	  0.899	  0.540	  0.485	 99.153
         63.840	  0.437	  0.059	  0.914	  0.580	  0.482	 99.348
         63.848	  0.450	  0.121	  0.919	  0.645	  0.478	100.913
         63.856	  0.465	  0.049	  0.869	  0.585	  0.475	104.628
         63.864	  0.481	  0.025	  0.825	  0.550	  0.472	110.887
         63.872	  0.499	  0.000	  0.815	  0.485	  0.469	119.100
         63.880	  0.516	 -0.015	  0.786	  0.455	  0.467	128.097
         63.888	  0.533	  0.010	  0.771	  0.495	  0.466	136.310
         63.896	  0.550	 -0.039	  0.766	  0.485	  0.467	142.960
         63.904	  0.566	  0.020	  0.805	  0.530	  0.469	148.044
         63.912	  0.582	  0.025	  0.776	  0.550	  0.472	151.956
         63.920	  0.597	  0.010	  0.786	  0.570	  0.474	154.694
         63.928	  0.613	 -0.020	  0.749	  0.515	  0.477	156.845
         63.936	  0.629	  0.025	  0.786	  0.530	  0.481	158.605
         63.944	  0.643	  0.005	  0.766	  0.505	  0.485	159.778
         63.952	  0.654	  0.044	  0.776	  0.575	  0.490	160.952
         63.960	  0.664	  0.005	  0.761	  0.520	  0.496	161.734
         63.968	  0.670	  0.044	  0.800	  0.560	  0.501	162.321
         63.976	  0.675	 -0.025	  0.776	  0.530	  0.506	162.712
         63.984	  0.675	  0.064	  0.800	  0.590	  0.511	162.908
         63.992	  0.676	  0.049	  0.810	  0.570	  0.514	162.712
         64.000	  0.674	  0.155	  0.855	  0.640	  0.517	162.321
         64.008	  0.670	  0.150	  0.825	  0.630	  0.519	161.734
         64.016	  0.659	  0.185	  0.840	  0.680	  0.521	160.756
         64.024	  0.648	  0.155	  0.766	  0.640	  0.522	159.583
         64.032	  0.632	  0.209	  0.749	  0.615	  0.523	157.627
         64.040	  0.617	  0.150	  0.761	  0.640	  0.524	155.280
         64.048	  0.600	  0.121	  0.800	  0.611	  0.525	152.151
         64.056	  0.583	  0.131	  0.815	  0.630	  0.525	148.436
         64.064	  0.565	  0.039	  0.781	  0.660	  0.524	143.938
         64.072	  0.548	  0.086	  0.756	  0.600	  0.522	139.244
         64.080	  0.529	  0.005	  0.786	  0.550	  0.520	134.550
         64.088	  0.509	  0.025	  0.786	  0.590	  0.517	130.248
         64.096	  0.488	  0.010	  0.805	  0.565	  0.514	126.728
         64.104	  0.467	  0.074	  0.810	  0.615	  0.510	123.990
         64.112	  0.451	  0.005	  0.761	  0.585	  0.508	121.838
         64.120	  0.433	  0.025	  0.919	  0.605	  0.507	120.274
         64.128	  0.420	  0.140	  1.005	  0.645	  0.506	118.905
         64.136	  0.407	  0.510	  0.379	  0.750	  0.506	117.927
         64.144	  0.397	  0.951	 -0.286	  0.815	  0.507	117.145
         64.152	  0.387	  1.030	 -0.404	  0.841	  0.508	116.558
         64.160	  0.382	  0.224	  0.300	  0.615	  0.510	115.971
         64.168	  0.376	  0.039	  0.709	  0.595	  0.511	115.189
         64.176	  0.376	 -0.049	  0.830	  0.550	  0.513	114.602
         64.184	  0.376	 -0.030	  0.884	  0.580	  0.515	113.820
         64.192	  0.380	 -0.084	  0.850	  0.535	  0.519	113.038
         64.200	  0.384	 -0.020	  0.899	  0.625	  0.523	112.256
         64.208	  0.390	 -0.005	  0.926	  0.595	  0.528	111.473
         64.216	  0.396	  0.039	  0.919	  0.580	  0.533	110.496
         64.224	  0.403	  0.000	  0.904	  0.600	  0.538	109.518
         64.232	  0.410	  0.010	  0.931	  0.630	  0.541	108.540
         64.240	  0.417	 -0.015	  0.909	  0.585	  0.544	107.562
         64.248	  0.425	  0.015	  0.936	  0.605	  0.546	106.584
         64.256	  0.433	  0.005	  0.951	  0.575	  0.548	105.411
         64.264	  0.442	  0.049	  0.946	  0.640	  0.548	104.433
         64.272	  0.449	  0.074	  0.966	  0.685	  0.548	103.651
         64.280	  0.457	  0.054	  0.980	  0.635	  0.547	102.673
         64.288	  0.462	  0.005	  0.946	  0.590	  0.545	101.695
         64.296	  0.468	 -0.015	  0.936	  0.630	  0.544	100.913
         64.304	  0.471	  0.030	  0.995	  0.635	  0.543	 99.935
         64.312	  0.474	  0.064	  0.990	  0.650	  0.542	 99.153
         64.320	  0.475	  0.096	  1.005	  0.685	  0.540	 98.175
         64.328	  0.476	  0.086	  1.010	  0.675	  0.538	 97.588
         64.336	  0.472	  0.039	  1.000	  0.650	  0.537	 97.393
         64.344	  0.468	  0.020	  0.946	  0.595	  0.534	 98.370
         64.352	  0.461	  0.034	  0.931	  0.590	  0.531	101.304
         64.360	  0.454	  0.039	  0.919	  0.640	  0.527	106.584
         64.368	  0.445	  0.049	  0.904	  0.630	  0.522	114.211
         64.376	  0.436	  0.034	  0.884	  0.656	  0.518	122.816
         64.384	  0.426	  0.010	  0.865	  0.615	  0.514	131.421
         64.392	  0.416	  0.020	  0.840	  0.600	  0.511	138.853
         64.400	  0.406	  0.030	  0.860	  0.620	  0.509	144.524
         64.408	  0.395	  0.000	  0.855	  0.590	  0.507	148.827
         64.416	  0.383	  0.025	  0.879	  0.640	  0.506	151.956
         64.424	  0.371	  0.030	  0.884	  0.605	  0.505	154.498
         64.432	  0.360	  0.030	  0.865	  0.625	  0.505	156.258
         64.440	  0.349	 -0.010	  0.850	  0.565	  0.504	157.627
         64.448	  0.339	  0.020	  0.894	  0.560	  0.504	158.801
         64.456	  0.329	  0.034	  0.889	  0.611	  0.504	159.778
         64.464	  0.321	  0.030	  0.914	  0.635	  0.503	160.365
         64.472	  0.313	  0.096	  0.931	  0.741	  0.502	160.756
         64.480	  0.305	  0.116	  0.966	  0.715	  0.501	160.756
         64.488	  0.298	  0.101	  0.970	  0.701	  0.501	160.365
         64.496	  0.293	  0.140	  0.926	  0.705	  0.501	159.778
         64.504	  0.287	  0.145	  0.919	  0.665	  0.501	158.996
         64.512	  0.283	  0.145	  0.889	  0.656	  0.501	157.823
         64.520	  0.280	  0.170	  0.860	  0.701	  0.501	156.454
         64.528	  0.277	  0.214	  0.850	  0.725	  0.501	154.498
         64.536	  0.273	  0.185	  0.874	  0.755	  0.501	152.347
         64.544	  0.271	  0.150	  0.889	  0.775	  0.501	149.218
         64.552	  0.269	  0.111	  0.884	  0.710	  0.501	145.698
         64.560	  0.269	  0.059	  0.884	  0.620	  0.500	141.591
         64.568	  0.268	  0.049	  0.899	  0.595	  0.500	137.093
         64.576	  0.270	  0.030	  0.874	  0.625	  0.498	132.399
         64.584	  0.272	  0.044	  0.840	  0.680	  0.496	128.097
         64.592	  0.277	  0.030	  0.830	  0.660	  0.494	124.381
         64.600	  0.282	  0.096	  0.869	  0.720	  0.492	121.252
         64.608	  0.288	  0.059	  0.865	  0.725	  0.490	118.905
         64.616	  0.295	  0.030	  0.985	  0.670	  0.490	116.949
         64.624	  0.302	  0.121	  1.054	  0.660	  0.490	115.385
         64.632	  0.309	  0.436	  0.660	  0.765	  0.491	114.211
         64.640	  0.317	  0.889	  0.005	  0.800	  0.494	113.233
         64.648	  0.324	  0.961	 -0.150	  0.701	  0.497	112.256
         64.656	  0.333	  0.261	  0.441	  0.615	  0.500	111.473
         64.664	  0.343	  0.079	  0.791	  0.665	  0.503	110.691
         64.672	  0.354	  0.005	  0.879	  0.675	  0.506	110.104
         64.680	  0.365	 -0.030	  0.931	  0.630	  0.508	109.518
         64.688	  0.373	 -0.121	  0.909	  0.540	  0.509	108.735
         64.696	  0.382	 -0.126	  0.909	  0.515	  0.511	107.953
         64.704	  0.389	 -0.116	  0.904	  0.485	  0.513	107.171
         64.712	  0.397	 -0.079	  0.946	  0.560	  0.514	106.389
         64.720	  0.401	 -0.049	  0.956	  0.600	  0.516	105.411
         64.728	  0.406	 -0.091	  0.914	  0.575	  0.517	104.433
         64.736	  0.408	 -0.025	  0.966	  0.590	  0.518	103.455
         64.744	  0.410	 -0.044	  0.931	  0.545	  0.519	102.477
         64.752	  0.410	 -0.025	  0.919	  0.565	  0.521	101.695
         64.760	  0.410	 -0.074	  0.894	  0.535	  0.522	100.717
         64.768	  0.408	 -0.054	  0.931	  0.565	  0.521	 99.739
         64.776	  0.407	 -0.079	  0.899	  0.555	  0.520	 98.957
         64.784	  0.404	 -0.091	  0.914	  0.550	  0.519	 97.979
         64.792	  0.402	 -0.079	  0.931	  0.535	  0.517	 97.197
         64.800	  0.400	 -0.059	  0.946	  0.565	  0.516	 96.415
         64.808	  0.398	 -0.079	  0.914	  0.570	  0.514	 95.437
         64.816	  0.396	 -0.074	  0.931	  0.540	  0.513	 94.850
         64.824	  0.394	 -0.096	  0.904	  0.515	  0.513	 94.068
         64.832	  0.392	 -0.091	  0.926	  0.535	  0.512	 93.677
         64.840	  0.391	 -0.160	  0.850	  0.440	  0.511	 94.263
         64.848	  0.390	 -0.175	  0.855	  0.430	  0.509	 96.415
         64.856	  0.388	 -0.281	  0.791	  0.330	  0.508	101.108
         64.864	  0.387	 -0.335	  0.766	  0.275	  0.506	108.344
         64.872	  0.386	 -0.451	  0.700	  0.164	  0.504	117.340
         64.880	  0.386	 -0.490	  0.690	  0.124	  0.502	126.336
         64.888	  0.385	 -0.456	  0.695	  0.100	  0.501	134.355
         64.896	  0.384	 -0.520	  0.665	  0.150	  0.500	140.613
         64.904	  0.383	 -0.446	  0.690	  0.164	  0.500	145.306
         64.912	  0.383	 -0.530	  0.665	  0.079	  0.500	148.827
         64.920	  0.382	 -0.470	  0.690	  0.119	  0.500	151.565
         64.928	  0.382	 -0.564	  0.640	  0.050	  0.500	153.911
         64.936	  0.382	 -0.525	  0.680	  0.079	  0.500	155.867
         64.944	  0.383	 -0.564	  0.650	  0.069	  0.500	157.432
         64.952	  0.384	 -0.505	  0.675	  0.135	  0.500	158.801
         64.960	  0.387	 -0.554	  0.616	  0.060	  0.498	159.778
         64.968	  0.390	 -0.500	  0.665	  0.095	  0.496	160.561
         64.976	  0.398	 -0.515	  0.665	  0.110	  0.493	160.952
         64.984	  0.406	 -0.441	  0.700	  0.150	  0.490	160.952
         64.992	  0.417	 -0.480	  0.670	  0.105	  0.487	160.756
         65.000	  0.428	 -0.360	  0.695	  0.200	  0.484	160.170
         65.008	  0.441	 -0.414	  0.626	  0.110	  0.481	159.387
         65.016	  0.455	 -0.335	  0.635	  0.180	  0.479	158.214
         65.024	  0.468	 -0.369	  0.596	  0.145	  0.477	156.649
         65.032	  0.483	 -0.296	  0.621	  0.254	  0.476	154.498
         65.040	  0.502	 -0.291	  0.645	  0.280	  0.474	151.565
         65.048	  0.522	 -0.374	  0.685	  0.205	  0.472	148.044
         65.056	  0.546	 -0.355	  0.635	  0.290	  0.471	143.938
         65.064	  0.571	 -0.431	  0.670	  0.205	  0.469	139.439
         65.072	  0.598	 -0.389	  0.640	  0.235	  0.469	134.746
         65.080	  0.626	 -0.419	  0.635	  0.185	  0.469	130.443
         65.088	  0.656	 -0.330	  0.690	  0.280	  0.469	126.532
         65.096	  0.685	 -0.355	  0.680	  0.254	  0.470	123.403
         65.104	  0.713	 -0.325	  0.665	  0.320	  0.472	121.056
         65.112	  0.740	 -0.419	  0.655	  0.245	  0.473	119.296
         65.120	  0.765	 -0.249	  0.850	  0.335	  0.475	117.927
         65.128	  0.792	  0.079	  0.461	  0.465	  0.476	116.754
         65.136	  0.817	  0.670	 -0.214	  0.611	  0.479	116.167
         65.144	  0.843	  0.815	 -0.466	  0.580	  0.481	115.776
         65.152	  0.867	  0.160	  0.150	  0.505	  0.484	115.385
         65.160	  0.892	 -0.180	  0.559	  0.395	  0.488	114.798
         65.168	  0.912	 -0.224	  0.734	  0.425	  0.494	114.407
         65.176	  0.933	 -0.261	  0.756	  0.410	  0.499	114.016
         65.184	  0.948	 -0.204	  0.820	  0.465	  0.501	113.233
         65.192	  0.965	 -0.209	  0.830	  0.425	  0.504	112.647
         65.200	  0.973	 -0.165	  0.855	  0.470	  0.506	111.669
         65.208	  0.980	 -0.200	  0.830	  0.425	  0.508	110.887
         65.216	  0.981	 -0.150	  0.835	  0.495	  0.509	109.909
         65.224	  0.983	 -0.131	  0.830	  0.540	  0.510	109.127
         65.232	  0.975	 -0.175	  0.850	  0.455	  0.512	108.344
         65.240	  0.966	 -0.150	  0.860	  0.420	  0.515	107.562
         65.248	  0.949	 -0.111	  0.879	  0.510	  0.519	106.780
         65.256	  0.933	 -0.091	  0.894	  0.530	  0.523	105.997
         65.264	  0.914	 -0.096	  0.879	  0.515	  0.527	105.215
         65.272	  0.894	 -0.064	  0.865	  0.540	  0.532	104.433
         65.280	  0.874	 -0.101	  0.926	  0.500	  0.536	103.651
         65.288	  0.852	 -0.044	  0.931	  0.585	  0.539	102.868
         65.296	  0.826	 -0.064	  0.961	  0.545	  0.541	102.086
         65.304	  0.800	 -0.005	  0.990	  0.575	  0.543	101.108
         65.312	  0.769	 -0.020	  0.970	  0.550	  0.543	100.130
         65.320	  0.739	  0.000	  0.975	  0.575	  0.543	 99.544
         65.328	  0.711	 -0.039	  0.961	  0.595	  0.543	 99.153
         65.336	  0.683	  0.039	  0.966	  0.635	  0.543	100.130
         65.344	  0.657	  0.000	  0.904	  0.620	  0.543	103.064
         65.352	  0.631	 -0.030	  0.850	  0.625	  0.541	108.344
         65.360	  0.606	 -0.091	  0.840	  0.545	  0.538	116.167
         65.368	  0.582	 -0.034	  0.865	  0.530	  0.534	125.359
         65.376	  0.557	 -0.049	  0.845	  0.520	  0.530	134.355
         65.384	  0.534	  0.020	  0.855	  0.615	  0.524	141.982
         65.392	  0.512	  0.010	  0.825	  0.600	  0.519	148.044
         65.400	  0.492	  0.030	  0.855	  0.690	  0.515	152.542
         65.408	  0.475	 -0.020	  0.850	  0.695	  0.511	155.672
         65.416	  0.457	  0.025	  0.830	  0.635	  0.509	157.823
         65.424	  0.445	 -0.010	  0.781	  0.570	  0.507	159.583
         65.432	  0.432	  0.025	  0.805	  0.565	  0.507	160.756
         65.440	  0.422	 -0.010	  0.800	  0.590	  0.506	161.930
         65.448	  0.413	  0.039	  0.865	  0.625	  0.504	162.712
         65.456	  0.406	  0.030	  0.874	  0.665	  0.502	163.494
         65.464	  0.400	  0.074	  0.835	  0.670	  0.500	164.081
         65.472	  0.395	  0.044	  0.845	  0.625	  0.500	164.472
         65.480	  0.390	  0.039	  0.874	  0.620	  0.498	164.472
         65.488	  0.387	  0.074	  0.855	  0.650	  0.497	164.277
         65.496	  0.384	  0.126	  0.889	  0.680	  0.496	163.690
         65.504	  0.382	  0.229	  0.904	  0.730	  0.496	162.908
         65.512	  0.380	  0.224	  0.845	  0.735	  0.496	161.734
         65.520	  0.378	  0.229	  0.800	  0.675	  0.496	160.170
         65.528	  0.376	  0.165	  0.744	  0.620	  0.495	158.018
         65.536	  0.374	  0.185	  0.761	  0.680	  0.493	155.280
         65.544	  0.372	  0.111	  0.766	  0.656	  0.490	151.956
         65.552	  0.370	  0.135	  0.815	  0.705	  0.488	147.849
         65.560	  0.368	  0.079	  0.791	  0.650	  0.486	143.155
         65.568	  0.366	  0.140	  0.845	  0.705	  0.484	138.462
         65.576	  0.363	  0.121	  0.791	  0.680	  0.483	133.768
         65.584	  0.361	  0.170	  0.796	  0.730	  0.481	129.661
         65.592	  0.358	  0.165	  0.786	  0.725	  0.480	126.336
         65.600	  0.356	  0.209	  0.830	  0.760	  0.478	123.990
         65.608	  0.353	  0.180	  0.815	  0.755	  0.477	122.034
         65.616	  0.351	  0.305	  1.091	  0.800	  0.477	120.861
         65.624	  0.350	  0.530	  0.781	  0.895	  0.477	119.883
         65.632	  0.348	  1.049	  0.086	  1.001	  0.480	119.296
         65.640	  0.347	  1.286	 -0.399	  1.001	  0.484	118.514
         65.648	  0.346	  0.776	  0.086	  0.931	  0.489	117.927
         65.656	  0.345	  0.374	  0.596	  0.820	  0.495	116.949
         65.664	  0.345	  0.261	  0.860	  0.765	  0.500	116.167
         65.672	  0.345	  0.214	  0.931	  0.800	  0.506	115.189
         65.680	  0.345	  0.190	  0.966	  0.701	  0.511	114.211
         65.688	  0.345	  0.165	  0.970	  0.725	  0.515	113.233
         65.696	  0.345	  0.185	  0.951	  0.715	  0.519	112.060
         65.704	  0.344	  0.079	  0.919	  0.625	  0.522	111.082
         65.712	  0.343	  0.005	  0.894	  0.570	  0.524	109.909
         65.720	  0.342	 -0.064	  0.860	  0.490	  0.525	108.735
         65.728	  0.340	 -0.079	  0.845	  0.470	  0.525	107.758
         65.736	  0.337	 -0.074	  0.869	  0.450	  0.525	106.780
         65.744	  0.334	 -0.106	  0.840	  0.410	  0.523	105.606
         65.752	  0.330	 -0.145	  0.874	  0.350	  0.520	104.628
         65.760	  0.326	 -0.209	  0.810	  0.295	  0.518	103.846
         65.768	  0.321	 -0.204	  0.815	  0.315	  0.516	102.868
         65.776	  0.313	 -0.276	  0.810	  0.209	  0.516	101.891
         65.784	  0.304	 -0.300	  0.830	  0.185	  0.518	101.108
         65.792	  0.292	 -0.379	  0.805	  0.114	  0.522	 99.935
         65.800	  0.282	 -0.394	  0.800	  0.105	  0.528	 98.957
         65.808	  0.270	 -0.374	  0.771	  0.145	  0.534	 97.784
         65.816	  0.258	 -0.389	  0.791	  0.129	  0.539	 96.806
         65.824	  0.246	 -0.446	  0.756	  0.039	  0.542	 96.024
         65.832	  0.235	 -0.466	  0.739	  0.000	  0.541	 96.219
         65.840	  0.222	 -0.539	  0.685	  0.000	  0.537	 97.784
         65.848	  0.210	 -0.554	  0.670	  0.000	  0.530	101.695
         65.856	  0.197	 -0.525	  0.645	  0.000	  0.521	108.149
         65.864	  0.185	 -0.584	  0.626	  0.000	  0.511	116.754
         65.872	  0.171	 -0.606	  0.611	  0.000	  0.503	125.945
         65.880	  0.158	 -0.631	  0.596	  0.000	  0.499	134.550
         65.888	  0.145	 -0.655	  0.569	  0.000	  0.496	141.591
         65.896	  0.132	 -0.621	  0.559	  0.000	  0.495	146.871
         65.904	  0.120	 -0.589	  0.569	  0.000	  0.496	150.782
         65.912	  0.109	 -0.601	  0.601	  0.000	  0.498	153.325
         65.920	  0.100	 -0.584	  0.616	  0.000	  0.500	155.280
         65.928	  0.091	 -0.549	  0.626	  0.000	  0.501	156.649
         65.936	  0.085	 -0.520	  0.626	  0.000	  0.503	158.018
         65.944	  0.079	 -0.549	  0.621	  0.000	  0.504	158.996
         65.952	  0.076	 -0.559	  0.655	  0.000	  0.503	159.974
         65.960	  0.073	 -0.569	  0.660	  0.000	  0.502	160.952
         65.968	  0.074	 -0.530	  0.650	  0.000	  0.500	161.539
         65.976	  0.074	 -0.500	  0.670	  0.024	  0.495	161.930
         65.984	  0.078	 -0.446	  0.690	  0.060	  0.490	161.734
         65.992	  0.083	 -0.409	  0.700	  0.090	  0.486	161.147
         66.000	  0.095	 -0.360	  0.709	  0.119	  0.482	160.170
         66.008	  0.108	 -0.374	  0.655	  0.079	  0.479	158.605
         66.016	  0.127	 -0.330	  0.635	  0.110	  0.477	156.845
         66.024	  0.147	 -0.315	  0.611	  0.169	  0.476	154.694
         66.032	  0.176	 -0.310	  0.665	  0.175	  0.476	151.956
         66.040	  0.205	 -0.431	  0.650	  0.079	  0.478	148.631
         66.048	  0.241	 -0.441	  0.690	  0.055	  0.480	144.915
         66.056	  0.277	 -0.374	  0.680	  0.145	  0.481	140.613
         66.064	  0.313	 -0.379	  0.704	  0.140	  0.482	136.115
         66.072	  0.348	 -0.394	  0.650	  0.190	  0.481	131.812
         66.080	  0.384	 -0.355	  0.685	  0.205	  0.478	128.292
         66.088	  0.420	 -0.345	  0.704	  0.180	  0.475	125.163
         66.096	  0.462	 -0.350	  0.724	  0.235	  0.470	122.425
         66.104	  0.504	 -0.320	  0.739	  0.254	  0.466	120.274
         66.112	  0.551	 -0.365	  0.894	  0.250	  0.462	118.514
         66.120	  0.597	 -0.030	  0.909	  0.435	  0.459	116.949
         66.128	  0.641	  0.426	  0.276	  0.560	  0.458	115.776
         66.136	  0.685	  0.771	 -0.214	  0.585	  0.457	114.602
         66.144	  0.727	  0.310	  0.025	  0.450	  0.457	113.625
         66.152	  0.768	 -0.044	  0.495	  0.425	  0.457	112.842
         66.160	  0.812	 -0.170	  0.756	  0.385	  0.458	112.060
         66.168	  0.856	 -0.165	  0.855	  0.395	  0.461	111.278
         66.176	  0.900	 -0.271	  0.835	  0.340	  0.463	110.496
         66.184	  0.945	 -0.276	  0.855	  0.355	  0.465	109.909
         66.192	  0.973	 -0.261	  0.845	  0.380	  0.467	109.127
         66.200	  1.000	 -0.190	  0.889	  0.410	  0.469	108.344
         66.208	  1.000	 -0.224	  0.884	  0.375	  0.471	107.366
         66.216	  1.000	 -0.200	  0.899	  0.415	  0.472	106.584
         66.224	  1.000	 -0.214	  0.865	  0.430	  0.474	105.606
         66.232	  1.000	 -0.180	  0.894	  0.405	  0.477	104.433
         66.240	  1.000	 -0.180	  0.865	  0.400	  0.478	103.260
         66.248	  1.000	 -0.140	  0.899	  0.455	  0.480	102.282
         66.256	  1.000	 -0.131	  0.874	  0.445	  0.481	101.108
         66.264	  1.000	 -0.145	  0.894	  0.475	  0.481	100.130
         66.272	  1.000	 -0.116	  0.889	  0.475	  0.481	 99.153
         66.280	  1.000	 -0.126	  0.904	  0.505	  0.481	 97.979
         66.288	  1.000	 -0.044	  0.926	  0.580	  0.481	 97.197
         66.296	  1.000	 -0.049	  0.936	  0.545	  0.481	 96.415
         66.304	  1.000	 -0.059	  0.951	  0.525	  0.481	 95.828
         66.312	  1.000	 -0.135	  0.904	  0.470	  0.481	 95.241
         66.320	  1.000	 -0.054	  0.931	  0.555	  0.481	 95.046
         66.328	  1.000	 -0.049	  0.919	  0.575	  0.480	 95.241
         66.336	  1.000	 -0.020	  0.951	  0.605	  0.478	 96.415
         66.344	  1.000	  0.030	  0.899	  0.611	  0.476	 99.153
         66.352	  0.991	  0.054	  0.909	  0.595	  0.473	103.846
         66.360	  0.981	  0.010	  0.869	  0.585	  0.470	110.496
         66.368	  0.950	  0.044	  0.874	  0.611	  0.467	118.514
         66.376	  0.919	  0.079	  0.879	  0.690	  0.463	126.923
         66.384	  0.891	  0.121	  0.914	  0.685	  0.460	134.550
         66.392	  0.861	  0.116	  0.904	  0.770	  0.458	140.808
         66.400	  0.835	  0.224	  0.931	  0.836	  0.457	145.502
         66.408	  0.808	  0.251	  0.919	  0.791	  0.457	149.218
         66.416	  0.783	  0.214	  0.946	  0.755	  0.457	151.956
         66.424	  0.759	  0.256	  0.931	  0.786	  0.457	154.107
         66.432	  0.735	  0.271	  0.919	  0.815	  0.457	155.867
         66.440	  0.712	  0.229	  0.909	  0.795	  0.456	157.041
         66.448	  0.692	  0.266	  0.941	  0.825	  0.456	157.823
         66.456	  0.672	  0.251	  0.946	  0.795	  0.456	158.409
         66.464	  0.656	  0.271	  0.926	  0.831	  0.456	158.801
         66.472	  0.639	  0.286	  0.961	  0.810	  0.455	158.801
         66.480	  0.628	  0.281	  0.941	  0.841	  0.454	158.605
         66.488	  0.617	  0.305	  0.926	  0.845	  0.454	158.214
         66.496	  0.609	  0.320	  0.914	  0.836	  0.452	157.627
         66.504	  0.602	  0.325	  0.855	  0.820	  0.451	156.649
         66.512	  0.601	  0.266	  0.820	  0.760	  0.451	155.280
         66.520	  0.600	  0.286	  0.860	  0.750	  0.451	153.325
         66.528	  0.604	  0.219	  0.805	  0.730	  0.451	150.978
         66.536	  0.609	  0.170	  0.825	  0.670	  0.450	147.849
         66.544	  0.617	  0.064	  0.810	  0.615	  0.450	144.133
         66.552	  0.625	 -0.025	  0.791	  0.525	  0.449	140.222
         66.560	  0.635	 -0.165	  0.734	  0.395	  0.448	135.919
         66.568	  0.647	 -0.160	  0.744	  0.385	  0.447	131.617
         66.576	  0.666	 -0.281	  0.714	  0.330	  0.447	127.705
         66.584	  0.684	 -0.234	  0.709	  0.350	  0.447	124.185
         66.592	  0.709	 -0.305	  0.690	  0.235	  0.446	121.252
         66.600	  0.733	 -0.266	  0.719	  0.285	  0.445	119.100
         66.608	  0.760	 -0.350	  0.709	  0.250	  0.444	117.340
         66.616	  0.785	 -0.160	  0.879	  0.344	  0.443	116.167
         66.624	  0.812	  0.069	  0.365	  0.370	  0.443	115.189
         66.632	  0.841	  0.601	 -0.305	  0.530	  0.443	114.602
         66.640	  0.875	  0.685	 -0.490	  0.395	  0.443	114.016
         66.648	  0.909	 -0.034	  0.140	  0.305	  0.444	113.429
         66.656	  0.947	 -0.305	  0.559	  0.200	  0.447	113.038
         66.664	  0.985	 -0.350	  0.714	  0.195	  0.451	112.647
         66.672	  0.993	 -0.404	  0.739	  0.220	  0.454	112.256
         66.680	  1.000	 -0.414	  0.729	  0.200	  0.457	111.864
         66.688	  1.000	 -0.360	  0.771	  0.240	  0.460	111.473
         66.696	  1.000	 -0.441	  0.714	  0.190	  0.462	110.887
         66.704	  1.000	 -0.335	  0.771	  0.259	  0.464	110.300
         66.712	  1.000	 -0.374	  0.739	  0.185	  0.464	109.322
         66.720	  1.000	 -0.325	  0.786	  0.225	  0.465	108.344
         66.728	  1.000	 -0.404	  0.734	  0.164	  0.466	107.562
         66.736	  1.000	 -0.325	  0.781	  0.225	  0.467	106.780
         66.744	  1.000	 -0.374	  0.756	  0.169	  0.468	105.997
         66.752	  1.000	 -0.345	  0.776	  0.205	  0.468	105.215
         66.760	  1.000	 -0.426	  0.714	  0.164	  0.468	104.628
         66.768	  1.000	 -0.335	  0.786	  0.220	  0.468	104.042
         66.776	  1.000	 -0.374	  0.776	  0.159	  0.468	103.260
         66.784	  1.000	 -0.340	  0.805	  0.155	  0.468	102.477
         66.792	  1.000	 -0.414	  0.791	  0.135	  0.468	101.695
         66.800	  1.000	 -0.325	  0.850	  0.205	  0.469	100.913
         66.808	  1.000	 -0.384	  0.815	  0.159	  0.470	100.130
         66.816	  1.000	 -0.345	  0.820	  0.209	  0.471	 99.544
         66.824	  1.000	 -0.436	  0.761	  0.159	  0.471	 99.544
